Gene	p_value	adj_p_value	log2fc	neg_log10_p_value	color
PLXNB2	0.0007236452145275162	0.00493597507440065	0.14040977	2.306627042061846	grey
HK2	7.045997430147928e-05	0.0008110236625326521	-0.16293652	3.0909664745712817	grey
ALYREF	1.6472022616450377e-06	5.3534073503463725e-05	0.21931674	4.271369709114839	grey
DLD	0.008188889946328009	0.030364843592927685	0.1754293	1.5176289515545374	grey
HSD17B10	3.0674762369067763e-06	7.909484586242611e-05	0.26637375	4.1018518159515995	grey
MAN2B1	0.0017093778473920148	0.009304741484572297	0.18851885	2.0312956884529734	grey
PSMD4	8.68805213844913e-05	0.0009600297612986288	0.18298818	3.017715303452698	grey
DHX15	0.0009451101740767131	0.006120277144521055	0.10240163	2.213228911251341	grey
NPC1	0.0003026602784640483	0.002533633391687677	0.18151022	2.5962562258714867	grey
HNRNPH1	0.007655919936707447	0.029071448556913154	0.1565087	1.536533327892434	grey
CHIL3	0.001275983905971679	0.007420853768940554	0.20552796	2.1295461262830537	grey
API5	0.001383700579633084	0.007922223525878538	0.23736157	2.1011529081213123	grey
SLK	8.526274790443571e-06	0.00016529006392000258	0.20473728	3.781753252383854	grey
SEPTIN7	0.0024971290720908947	0.012373666478297931	-0.2069504	1.9075015941982625	grey
RPL35A	0.006723875287093952	0.02672619493611085	0.18489614	1.5730628682498597	grey
ATP2A2	0.006623852115318251	0.02642366999070999	-0.19489829	1.5780068632535407	grey
HMOX2	6.6088025849931895e-06	0.00013523568252624954	-0.32709298	3.8689087027758067	grey
EPB41L2	0.00017639101447173967	0.0016802764740626926	0.23007251	2.7746192532259397	grey
CTSS	0.009011630695354668	0.032756091836733246	0.15660292	1.484707919945503	grey
DIAPH2	0.00694889040430072	0.027325707817623827	0.22348236	1.5634285797055467	grey
WDR1	0.00023690676642729424	0.0021457539090340995	-0.12725468	2.6684200876249444	grey
IDH1	4.119253662354908e-05	0.000541878011535973	-0.24718285	3.2660984715422137	grey
B2M	0.00323447484924274	0.015380200095917673	0.1903542	1.813038014340335	grey
H2-D1	0.004795950482020422	0.021029862232668915	-0.13513441	1.677163572382041	grey
HBA	3.5964296461782325e-05	0.0004888466238729355	0.31570262	3.310827379841796	grey
HBB-B1	0.0012130522723471035	0.007168036154778339	0.21112159	2.1445998128072694	grey
SAA3	0.015432323913575862	0.04858324195014623	0.15613483	1.313513508178859	grey
ALDOA	1.1491256269673707e-07	7.054354543327469e-06	-0.22701399	5.151542717004605	grey
GOT1	0.00981332185460268	0.03486726896892592	0.20734507	1.4575820680577656	grey
LDHA	0.007750077831016862	0.029257110313333837	-0.14201288	1.53376857079265	grey
APRT	0.00704284736241441	0.027523619730724966	-0.20379137	1.560294451043224	grey
S100A10	0.0015694290380343123	0.008714668779034748	0.20383812	2.0597491145977163	grey
MDH2	0.00523038302756039	0.021727718967873046	-0.14885327	1.6629858646442208	grey
H2AZ1	0.0006497322294717192	0.0046022699587580105	0.18727402	2.3370279101870812	grey
CALM1	0.009765056150955416	0.03480770015098624	-0.1375409	1.458324670905094	grey
EEF1A1	8.45760366747869e-08	6.087644294742097e-06	-0.14326274	5.215550731622473	grey
H2BC14	0.004844983670894137	0.02114183483518867	0.15094239	1.6748573243030405	grey
PARP1	0.0074378218530775884	0.02846477728059545	0.19961402	1.5456922099267993	grey
GPX1	0.002455152599652623	0.012275762998263115	-0.39849484	1.9109515048557346	grey
LAMP1	0.0001038347837507885	0.001107194888429251	-0.18287218	2.95577592788379	grey
HSP90AB1	3.0466466741150404e-05	0.0004304123471805377	-0.16069394	3.3661152786161566	grey
COX5A	0.0110125439989913	0.03802769099651683	0.119631656	1.4199000437158156	grey
RPL7A	1.3964453592285374e-05	0.00024888260031411837	-0.23926285	3.6040054643866024	grey
DNMT1	0.01339637227846947	0.0432836004903765	0.061926536	1.3636766201735573	grey
RPL7	7.147350978646099e-06	0.0001435967787527989	0.27188227	3.842855302333102	grey
ANXA6	0.00516537893587346	0.021538655562793108	0.15171383	1.6667814087391843	grey
NME1	5.0863271388576e-06	0.00011958279762633294	0.24318036	3.9223312905256162	grey
LGALS1	0.0031226442838093037	0.014937324387918963	0.18713054	1.8257271875023358	grey
SPTAN1	2.5494321054061968e-06	7.223390965317558e-05	-0.19790614	4.141258878357913	grey
CTSA	0.014587354967542035	0.04605436354038271	-0.16680163	1.3367292151581056	grey
GBA1	1.7307879673420202e-05	0.0002854508513302884	0.32372954	3.5444686574129642	grey
COX7C	0.00045713717502165736	0.003507892905548134	0.16471745	2.4549536739261377	grey
TPI1	0.0010662205391698551	0.006628430050604801	-0.19985366	2.1785893224395254	grey
CTSD	0.009269659782173657	0.033583521505907835	-0.15507029	1.4738737664946504	grey
HMGN1	0.012910400728580362	0.04226440140707049	-0.20367184	1.3740252775802535	grey
CFL1	4.552479068777741e-14	3.349041087692981e-11	-0.27163804	10.47507952428788	grey
VIM	1.8199321530379295e-06	5.459656942495291e-05	-0.23760656	4.262834645328597	grey
FCER1G	1.560575600751601e-05	0.00027372000616357445	-0.25908372	3.562693458896367	grey
