Gene	RANK
IFIT1	105.36242636315951
GBP2	83.55082977914847
ISG15	68.6325796102423
IFIT3	63.73522892686798
SOD2	48.56029872869048
IFI204	45.40013692170546
MARCKSL1	42.472453603803814
FCER1G	38.754233915252904
ISG20	34.1416254706356
UBXN4	31.268615680619646
SAMHD1	24.485144427144792
PRDX1	22.1387810638377
MACF1	15.343045734440157
RSAD2	15.246069409547317
HSPA8	14.826632936135276
IFIT2	12.368655832972523
SP110	11.073695752862841
HCLS1	10.715303150956087
ACOD1	10.207944616499773
PFDN6	9.913813168248168
FLNB	9.631927698244263
MARCKS	8.435316012984025
RDX	8.07534937081889
EHD1	8.053056628415671
HSP90AB1	7.726531622585501
OGFR	7.470482765561172
CMPK2	7.305928776477035
STAT1	6.471061490857325
ACTB	5.94513241544723
H2-D1	5.672060879670068
RAC1	5.401693013775086
PSME2	4.935871325075049
SF3A3	4.882127801953656
KHDRBS1	4.809543152407409
YTHDF1	4.635925497535867
NOS2	4.516852283268921
ANP32A	4.435063636240062
PYHIN1	4.209024226934647
RPS16	4.109194248156
GSDMD	3.982602400439322
RUFY1	3.9547837867502595
DEK	3.8911257194033033
ATP2A2	3.6906085745467982
AP1B1	3.6655714253623506
MVP	3.651527814176322
SAA3	3.498104595767235
SH3GLB1	3.4298687366080407
JPT1	2.8631048235442895
RAB8B	2.827983566496143
DCTN2	2.8068413427606895
RPS27	2.795552690922199
SPPL2A	2.695960917025407
PFKP	2.6614151069582364
SLC3A2	2.4256134196174126
IDH2	2.357993188762298
KCTD12	2.3472625187542406
RHOG	2.3276383363066904
ABRACL	2.3119669707598547
GSPT1	2.30360270042425
ITGA5	2.2858610134713384
CEBPB	2.22531585387009
MSN	2.2251011735048336
CLIC4	2.207333074670525
TNFAIP8L2	2.2040463203022918
PRDX5	2.0914628105327084
SYK	2.0772709587938176
RPL12	2.0563818838162367
RPL22	2.0301823544086237
SH3GL1	1.9957547882637616
IMMT	1.9433055260438181
TAOK3	1.9326621973034461
PSMD3	1.8801508147608317
NUP62	1.8516898482536124
EEF1A1	1.8480262406669117
PSMD4	1.8379483343537435
SYNGR1	1.8067110950498628
CASP1	1.7774919652086114
EZR	1.7773062680543583
ITGB1	1.7711279353846778
EIF3G	1.7443475107231483
NAMPT	1.6368071792270902
PSAT1	1.5518523654028864
H3-5	1.551115584912281
PKM	1.5291709697309595
RPS5	1.5044937350185061
ICAM1	1.491229685509178
DNAJA2	1.4902861112229373
LIMD2	1.4672313924096403
MVD	1.4288150596946272
EEF2	1.4195527212146541
MOB1B	1.4147392514571897
HMOX1	1.4089445439122412
CYCS	1.3043723343458835
RNF213	1.2311986373194532
PSMA6	1.2139818095746358
LYN	1.1964347667168493
EIF4A1	1.1929686748677144
PLD4	1.181240847085486
DYNC1LI1	1.166701118363594
LGALS3BP	1.0929314264594416
DOK1	1.0888603349637742
MSR1	1.0864004742605455
TGTP2	1.0754795462235391
RPS6	1.032966629215708
RPL10A	1.0120629132720675
BST2	0.9972446840079674
CHMP4B	0.9927849683702381
DPYSL2	0.9883252519190102
TAPBP	0.9834857927810425
RSU1	0.9795521473035924
NPM1	0.939128520228189
RPL35	0.9245307451699268
DHX9	0.9063872620688224
PSMA7	0.9001898718882334
RAB2A	0.8985154177631228
HMOX2	0.8913324406964349
YBX1	0.8868814999348242
EFHD2	0.8200506213769921
ESD	0.8198758061100847
RPL26	0.7936597292075963
SQSTM1	0.7922387480085533
ARHGEF2	0.7771768609702296
DBNL	0.7590953689773374
MAP4	0.7461886449626494
RRBP1	0.7377326219331589
PHB2	0.7312255272368495
ATP6V1B2	0.7265417482927613
CAT	0.7249313530369752
CBX3	0.7243065345261215
ALDOA	0.7161220357139014
CNP	0.7008111328321136
RASSF4	0.6875082560490238
FCGR1	0.6617200677534322
ANXA11	0.6378660910565468
PSMB8	0.6371344879451386
RPSA	0.6318553114590417
HSPA1B	0.6241281124920134
GAS7	0.610326694098365
RBM3	0.6078606771744746
RBPJL	0.6046602918020623
RPS11	0.6039365198674032
HK2	0.5760189520657294
RPS9	0.5626093653765377
PSMB4	0.5625387761984778
RAB32	0.5565056968072487
RPS26	0.5457182576282719
RPS18	0.5448378536303157
MDH2	0.5442956637560448
TPD52L2	0.5411883517155321
TXN	0.5304658235044701
NCKAP1L	0.5282025019680325
RBM39	0.527150514664298
HSD17B11	0.5178621842006158
SNRPG	0.5149299445020795
RPL23A	0.5125720269233139
UBB	0.5061454582730207
RPS14	0.503212455625505
PTK2B	0.5025238247134017
GAPDH	0.5023815014890141
LCP1	0.49996955841904445
RPS3A	0.48777697685090105
TRIM21	0.48511695210868727
ADSS1	0.4832316838699973
RPS4X	0.47700219198164573
ACSL1	0.46552000729322934
RPL34	0.4519226951497025
RAP1A	0.44707391320364376
LAMP2	0.43443041610540056
RAB5C	0.4289653689375207
ATP5PD	0.41714198607853975
RPS3	0.4157553715890876
PSMD13	0.41361281182224635
CRLF3	0.39985544497065856
PTMA	0.39822809824653094
DTX3L	0.38273292456064456
RACK1	0.3771295063807454
RPL11	0.36953266872596663
RPS8	0.35519369576997156
SNX9	0.35468674283448937
SLC25A5	0.35394623762132793
CSTB	0.3471333972443621
PSMA3	0.3421218979456911
PRDX4	0.32619017639617376
PSMB10	0.31961142849209145
RIGI	0.3185740738778484
DNMT1	0.31741694940661325
IL1RN	0.3111275872405046
PTPN23	0.30655932509214606
PGK1	0.3047046683191456
ACTR1A	0.3034960825832383
UCHL5	0.2957599578999874
PARK7	0.2883821447605324
PSMB1	0.2863362511243227
SGPL1	0.28619947548480057
TPM4	0.28210727628323284
TAP1	0.2806288115249206
PARP3	0.2804740136773864
CANX	0.27683106861138623
NEDD8	0.2718076523144959
STAT3	0.270265343049203
GRB2	0.2644193604671111
RAB11B	0.260382697060476
BLVRB	0.2511965018495769
BIN1	0.24310368157591306
FKBP15	0.242616616941013
YWHAZ	0.24074763817426711
BCAP31	0.23947576389312408
CYB5A	0.2392460409007783
DNAJC7	0.23742495214976195
PSMA4	0.23738448995040154
SEC31A	0.23363741317987521
NME2	0.23307826741987453
EIF5A	0.23115791496821517
EEF1B	0.22872661492527968
ARF4	0.227471857609807
RPL23	0.22293379159523952
NMRAL1	0.21263812085154762
SNRPF	0.21046778316438078
POR	0.2047937739844758
G3BP1	0.20319212904001246
VAPA	0.20087991693486937
RPS19	0.20077671754463078
COX7A2	0.19673388582920076
DIAPH2	0.195443743869856
VAV1	0.19274777235630536
PLP2	0.1897085964430035
SH3BGRL	0.18465533783048968
PZP	0.18192220617679433
TXNDC5	0.18168792821338284
RALY	0.17958739345043467
HK3	0.17777775768067633
DDX5	0.1749148364317202
CLTB	0.17333167245188566
RAB1A	0.16780343185882732
SRA1	0.16658129027490806
CAPZA1	0.16637713701889295
CDC42	0.16523351446952575
RPL36A	0.16514588098208727
C1QB	0.15743323690481056
RHOA	0.15706921433660637
RPS28	0.15171827775037916
GLRX3	0.15153760900457763
UBE2D3	0.14755101202024093
TAGLN2	0.14551569363624395
CORO1B	0.1453540981230675
PSAP	0.1434767588267494
MYO1E	0.13931622555348336
GLUD1	0.1389235321522066
WARS1	0.13705078370300688
IFIH1	0.1336169663817235
